District,BEDSCODE,COUNTY_DESC
NEW PALTZ CSD,621101,ULSTER
NEW ROCHELLE CITY SD,661100,WESTCHESTER
NEW SUFFOLK COMN SD,581015,SUFFOLK
NEW YORK CITY,300000,BRONX
NEWARK CSD,650101,WAYNE
NEWARK VALLEY CSD,600402,TIOGA
NEWBURGH CITY SD,441600,ORANGE
NEWCOMB CSD,151001,ESSEX
NEWFANE CSD,400601,NIAGARA
NEWFIELD CSD,610901,TOMPKINS
NIAGARA FALLS CITY SD,400800,NIAGARA
NIAGARA-WHEATFIELD CSD,400701,NIAGARA
NISKAYUNA CSD,530301,SCHENECTADY
NORTH BABYLON UFSD,580103,SUFFOLK
NORTH BELLMORE UFSD,280204,NASSAU
NORTH COLLINS CSD,142201,ERIE
NORTH COLONIE CSD,106230,ALBANY
NORTH GREENBUSH COMN SD (WILLIAMS),490801,RENSSELAER
NORTH MERRICK UFSD,280229,NASSAU
NORTH ROSE-WOLCOTT CSD,651501,WAYNE
NORTH SALEM CSD,661301,WESTCHESTER
NORTH SHORE CSD,280501,NASSAU
NORTH SYRACUSE CSD,420303,ONONDAGA
NORTH TONAWANDA CITY SD,400900,NIAGARA
NORTH WARREN CSD,630202,WARREN
NORTHEAST CSD,131101,DUTCHESS
NORTHEASTERN CLINTON CSD,905010,CLINTON
NORTHERN ADIRONDACK CSD,909010,CLINTON
NORTHPORT-EAST NORTHPORT UFSD,580404,SUFFOLK
NORTHVILLE CSD,170901,FULTON
NORWICH CITY SD,812000,CHENANGO
NORWOOD-NORFOLK CSD,512201,SAINT LAWRENCE
NY MILLS UFSD,411504,ONEIDA
NYACK UFSD,500304,ROCKLAND
OAKFIELD-ALABAMA CSD,181101,GENESEE
OCEANSIDE UFSD,280211,NASSAU
ODESSA-MONTOUR CSD,550101,SCHUYLER
OGDENSBURG CITY SD,512300,SAINT LAWRENCE
OLEAN CITY SD,424000,CATTARAUGUS
ONEIDA CITY SD,251400,MADISON
ONEONTA CITY SD,471400,OTSEGO
ONONDAGA CSD,421201,ONONDAGA
ONTEORA CSD,621201,ULSTER
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS,271201,MONTGOMERY
ORCHARD PARK CSD,142301,ERIE
ORISKANY CSD,412901,ONEIDA
OSSINING UFSD,661401,WESTCHESTER
OSWEGO CITY SD,461300,OSWEGO
OTEGO-UNADILLA CSD,471601,OTSEGO
OWEGO-APALACHIN CSD,600601,TIOGA
OXFORD ACADEMY & CSD,815010,CHENANGO
OYSTER BAY-EAST NORWICH CSD,280506,NASSAU
OYSTERPONDS UFSD,581002,SUFFOLK
PALMYRA-MACEDON CSD,650901,WAYNE
PANAMA CSD,616010,CHAUTAUQUA
PARISHVILLE-HOPKINTON CSD,512501,SAINT LAWRENCE
PATCHOGUE-MEDFORD UFSD,580224,SUFFOLK
PAVILION CSD,181201,GENESEE
PAWLING CSD,131201,DUTCHESS
PEARL RIVER UFSD,500308,ROCKLAND
PEEKSKILL CITY SD,661500,WESTCHESTER
PELHAM UFSD,661601,WESTCHESTER
PEMBROKE CSD,181302,GENESEE
PENFIELD CSD,261201,MONROE
PENN YAN CSD,680601,YATES
PERRY CSD,671201,WYOMING
PERU CSD,911010,CLINTON
PHELPS-CLIFTON SPRINGS CSD,431301,ONTARIO
PHOENIX CSD,462001,OSWEGO
PINE BUSH CSD,440401,ORANGE
PINE PLAINS CSD,131301,DUTCHESS
PINE VALLEY CSD (SOUTH DAYTON),606010,CHAUTAUQUA
PITTSFORD CSD,261401,MONROE
PLAINEDGE UFSD,280518,NASSAU
PLAINVIEW-OLD BETHPAGE CSD,280504,NASSAU
PLATTSBURGH CITY SD,912000,CLINTON
PLEASANTVILLE UFSD,660809,WESTCHESTER
POCANTICO HILLS CSD,660802,WESTCHESTER
POLAND CSD,211103,HERKIMER
PORT BYRON CSD,511010,CAYUGA
PORT CHESTER-RYE UFSD,661904,WESTCHESTER
PORT JEFFERSON UFSD,580206,SUFFOLK
PORT JERVIS CITY SD,441800,ORANGE
PORT WASHINGTON UFSD,280404,NASSAU
PORTVILLE CSD,429010,CATTARAUGUS
POTSDAM CSD,512902,SAINT LAWRENCE
POUGHKEEPSIE CITY SD,131500,DUTCHESS
PRATTSBURGH CSD,572301,STEUBEN
PULASKI CSD,461801,OSWEGO
PUTNAM CSD,641401,WASHINGTON
PUTNAM VALLEY CSD,480503,PUTNAM
QUEENSBURY UFSD,630902,WARREN
QUOGUE UFSD,580903,SUFFOLK
RANDOLPH ACAD UFSD,430110,CATTARAUGUS
RANDOLPH CSD,430010,CATTARAUGUS
RAVENA-COEYMANS-SELKIRK CSD,104020,ALBANY
RED CREEK CSD,651503,WAYNE
RED HOOK CSD,131701,DUTCHESS
REMSEN CSD,411701,ONEIDA
REMSENBURG-SPEONK UFSD,580901,SUFFOLK
RENSSELAER CITY SD,491200,RENSSELAER
RHINEBECK CSD,131801,DUTCHESS
RICHFIELD SPRINGS CSD,472001,OTSEGO
RIPLEY CSD,624010,CHAUTAUQUA
RIVERHEAD CSD,580602,SUFFOLK
ROCHESTER CITY SD,261600,MONROE
ROCKVILLE CENTRE UFSD,280221,NASSAU
ROCKY POINT UFSD,580209,SUFFOLK
ROME CITY SD,411800,ONEIDA
ROMULUS CSD,560603,SENECA
RONDOUT VALLEY CSD,620901,ULSTER
ROOSEVELT UFSD,280208,NASSAU
ROSCOE CSD,591301,SULLIVAN
