District,BEDSCODE,COUNTY_DESC
WEST IRONDEQUOIT CSD,260803,MONROE
WEST ISLIP UFSD,580509,SUFFOLK
WEST SENECA CSD,142801,ERIE
WEST VALLEY CSD,402040,CATTARAUGUS
WESTBURY UFSD,280401,NASSAU
WESTFIELD CSD,629010,CHAUTAUQUA
WESTHAMPTON BEACH UFSD,580902,SUFFOLK
WESTHILL CSD,420701,ONONDAGA
WESTMORELAND CSD,412801,ONEIDA
WHEATLAND-CHILI CSD,262001,MONROE
WHEELERVILLE UFSD,170301,FULTON
WHITE PLAINS CITY SD,662200,WESTCHESTER
WHITEHALL CSD,641701,WASHINGTON
WHITESBORO CSD,412902,ONEIDA
WHITESVILLE CSD,221010,ALLEGANY
WHITNEY POINT CSD,314010,BROOME
WILLIAM FLOYD UFSD,580232,SUFFOLK
WILLIAMSON CSD,651402,WAYNE
WILLIAMSVILLE CSD,140203,ERIE
WILLSBORO CSD,151701,ESSEX
WILSON CSD,401501,NIAGARA
WINDHAM-ASHLAND-JEWETT CSD,191401,GREENE
WINDSOR CSD,317010,BROOME
WORCESTER CSD,472506,OTSEGO
WYANDANCH UFSD,580109,SUFFOLK
WYNANTSKILL UFSD,490804,RENSSELAER
WYOMING CSD,671002,WYOMING
YONKERS CITY SD,662300,WESTCHESTER
YORK CSD,241701,LIVINGSTON
YORKSHIRE-PIONEER CSD,435010,CATTARAUGUS
YORKTOWN CSD,662402,WESTCHESTER
